id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
SCICATDB,Science Cat DBs,SCICATAR,Science catalog databases,Multiple,Multiple,Fritz Mueller,,SW,,,,
PRDB,Prompt Catalog DB,SCICATDB,Prompt catalog database,1.02C.06.01.01,DAX,Fritz Mueller,,SW,cat,,,
ALERTDB,Alert DB,SCICATDB,Alert database,1.02C.03.03,AP,John Swinbank,Eric Bellm,SW,,,,
DRDB,DR Catalog DB,SCICATDB,Data Release catalog database,1.02C.06.01.01,DAX,Fritz Mueller,,SW,cat,,,
GMDS,Global Metadata,SCIIMGAR,Global metadata service,1.02C.06.02.05,DAX,Fritz Mueller,,SW,,,,
PRVDB,Provenance DB,SCIIMGAR,Provenance database,1.02C.06.01.01,DAX,Fritz Mueller,,SW,,,,
QSERV,Qserv DBMS,INFRA,Qserv distributed database system,1.02C.06.02.03,DAX,Fritz Mueller,,SW,qserv/partition/scisql,,,
MW,Middleware,INFRA,Middleware,,DAX,Fritz Mueller,Jim Bosch,SW,,,,
BUTLER,Data Butler Client,MW,Data Butler data access client library,1.02C.06.02.01,DAX,Fritz Mueller,Jim Bosch,SW,daf_persistence/db/daf_fmt_*,,,
TXF,Task Execution,MW,Task execution framework,Multiple,DAX,Fritz Mueller,Jim Bosch,SW,,,,
SPRTASK,SuperTask,TXF,SuperTask,1.02C.06.03,DAX,Fritz Mueller,Jim Bosch,SW,pipe_supertask/pipe_base/pex_exceptions,,,
ACTIVATR,Activator Bases,TXF,Activator base and Command Line Activator,1.02C.06.03,DAX,Fritz Mueller,Jim Bosch,SW,,,,
CONFIG,Pipeline Config,TXF,Pipeline configuration,1.02C.06.03,DAX,Fritz Mueller,Jim Bosch,SW,pex_config,,,
LOG,Logging,TXF,Logging,1.02C.06.04.01,DAX,Fritz Mueller,Jim Bosch,SW,log,,,
MULTNODE,Multi-Node Task,TXF,Multi-node Task API,1.02C.06.03,DAX,Fritz Mueller,Jim Bosch,SW,pipe_base/ctrl_pool,,,
MULTCORE,Multi-Core Task,TXF,Multi-core Task API,1.02C.06.03,DAX,Fritz Mueller,Jim Bosch,SW,,,,
INFRASYS,Infra Systems,INFRA,Filesystems/provisioning/monitoring/management systems and tools,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DR,Data Release System,DMSYS,Data Release (non-Prompt) System,Multiple,Multiple,John Swinbank,Jim Bosch,SW,,,,
PRODEX,Production Exec,DR,Production Execution System,Multiple,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
CMPGN,Campaign Manager,PRODEX,Campaign Manager,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
WLM,Workload Manager,PRODEX,Workload Manager,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
WFM,Workflow Manager,PRODEX,Workflow Manager/Orchestrator,,NCSA,Margaret Gelman,Michelle Butler,SW,ctrl_orca/ctrl_platform_*/ctrl_execute/ctrl_stats/ctrl_provenance,,,
PREACTIV,Pre-Flight Activator,PRODEX,Pre-flight Activator,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
JOBACTIV,Job Activator,PRODEX,Job Activator,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DRSCI,DR Science Payloads,DR,Data Release science payloads,Multiple,Multiple,John Swinbank,Jim Bosch,SW,,,,
CPPSLOW,Periodic Cal Prod,DRSCI,Periodic CPP payload,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
CPPYEAR,Annual Cal Prod,DRSCI,Annual CPP payload,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
TMPLGEN,Template Gen Prod,DRSCI,Template generation payload,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,,,,
CPPQC,CPP Quality Control,DRSCI,CPP QC measurement generators,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
DRP,Data Release Prod,DRSCI,Annual mini-DRP and DRP payload,Multiple,DRP,John Swinbank,Jim Bosch,SW,,,,
IMGCHAR,Image Char and Cal,DRP,Image characterization and calibration,1.02C.04.03,DRP,John Swinbank,Jim Bosch,SW,pipe_drivers,,,
